Dataset,d,K,Algorithm,FinalRegret,RegretStd,BitsPerRound,TotalBits
Covertype,54,7,Alg1 (known dist),377.37444379663026,42.34912820504876,1.0,10000.0
Covertype,54,7,Alg2 (unknown dist),446.15893427938397,64.43386214878957,254.0,2540000.0
Covertype,54,7,LinUCB,126.18666547776282,21.062926268048166,0.0,0.0
Covertype,54,7,Thompson,40.5133077762967,48.979958865653266,0.0,0.0
Covertype,54,7,Full context (LinUCB),125.9781903576217,21.29612270518354,12128.0,121280000.0
Pendigits,16,10,Alg1 (known dist),409.8409904275592,133.20325903906593,1.0,10000.0
Pendigits,16,10,Alg2 (unknown dist),738.9301850855321,231.43695994320595,75.0,750000.0
Pendigits,16,10,LinUCB,37.18280644376647,8.708781942279893,0.0,0.0
Pendigits,16,10,Thompson,35.14290676403802,31.77331473931876,0.0,0.0
Pendigits,16,10,Full context (LinUCB),37.42857213952927,9.010274172547978,5152.0,51520000.0
Shuttle,9,7,Alg1 (known dist),254.8729022626415,260.0108853637556,1.0,10000.0
Shuttle,9,7,Alg2 (unknown dist),246.1070397731829,35.224888371610135,42.0,420000.0
Shuttle,9,7,LinUCB,17.80990993241739,5.177630642254176,0.0,0.0
Shuttle,9,7,Thompson,2.3310921954544934,1.5804582789372676,0.0,0.0
Shuttle,9,7,Full context (LinUCB),17.823218717132214,5.206897451347448,2048.0,20480000.0
